systemstop,objectid,street,routesstpg,public_nam,point_x,point_y
10108,3203,69TH STREET,67,69th Street & Paulina,-87.66620481,41.76858665
10084,3204,RHODES,"N5,67",Rhodes & 67th Street,-87.61188278,41.77281616
14134,3205,35TH/ARCHER,35,35th/Archer Orange Line Station,-87.68107921,41.82876918
11555,3206,CENTRAL,85,Central & Le Moyne,-87.76593194,41.90769681
11113,3207,KIMBALL,82,Kimball & Glenlake,-87.714109,41.992113
12571,3208,ADDISON,152,Addison & Campbell,-87.69101309,41.94678437
12577,3209,ADDISON,152,Addison & Albany,-87.70520192,41.94669488
1675,3210,WESTERN,49B,Western & Glenlake,-87.689607,41.992177
11617,3211,CENTRAL,85,Central & Waveland,-87.766737,41.94761
8586,3212,EAST RIVER RD,81W,East River Rd & Carmen,-87.84633406,41.97127129
14726,3213,ASHLAND,206,Ashland & Payne Street,-87.69424,42.05711
7542,3214,MICHIGAN,"34,119",Michigan & 109th Street,-87.62089022,41.6963378
12857,3215,PULASKI,53A,Pulaski & 62nd Street,-87.722869,41.78055
14240,3216,RIDGE,"201,206",Ridge & Dempster,-87.68807325,42.04100997
8862,3217,DAMEN,50,Damen & Hubbard,-87.67693,41.889802
10024,3218,KEDZIE,52A,Kedzie & 81st Street,-87.702369,41.746236
6499,3219,WENTWORTH,24,3000 S Wentworth,-87.631747,41.839873
6559,3220,VINCENNES,8A,Vincennes & Gilbert Court,-87.6410687,41.73881244
11008,3221,DIVERSEY,76,Diversey & Sacramento,-87.70262,41.932
15530,3222,79TH STREET,79,79th Street & Kostner,-87.73126428,41.74922635
2736,3223,79TH STREET,79,79th Street & Columbus (Southwest Hwy.),-87.70392189,41.74967709
17017,3224,BELMONT,77,Belmont & Central,-87.76624353,41.93851092
4847,3225,FOSTER,"136,146,147",Foster & Marine Drive,-87.65257447,41.97649973
12363,3226,111TH STREET,112,111th Street & Longwood,-87.67171576,41.69199931
3281,3227,63RD STREET,63,63rd Street & Cicero,-87.74204338,41.77853286
57,3228,JACKSON,126,Jackson & Loomis,-87.661652,41.877634
2742,3229,79TH STREET,79,79th Street & California,-87.69265346,41.74981875
11334,3230,MONTROSE,78,Montrose & Hamlin,-87.723033,41.960951
